mass [g],459,eprSpeed [mVps],500
time,eprVin,distance,
329,4095,121,
330,4095,121,
331,4095,122,
332,4095,117,
333,4095,122,
333,4095,120,
333,4095,120,
334,4095,122,
334,4095,122,
334,4095,121,
335,4095,120,
336,4095,119,
337,4095,122,
338,4095,120,
339,4095,119,
340,4095,120,
341,4095,121,
342,4095,121,
342,4095,123,
343,4095,116,
344,4095,120,
344,4095,121,
345,4095,120,
346,4095,119,
347,4095,122,
348,4095,121,
349,4095,121,
350,4095,118,
351,4095,121,
352,4095,123,
352,4095,120,
352,4095,118,
353,4095,120,
353,4095,118,
353,4082,120,
354,4069,122,
355,4057,122,
356,4045,121,
357,4033,123,
358,4021,121,
359,4009,119,
360,3997,122,
360,3984,120,
361,3972,119,
361,3959,120,
361,3947,120,
362,3935,120,
363,3923,121,
365,3911,119,
366,3899,121,
367,3887,122,
368,3875,119,
369,3863,123,
370,3851,120,
371,3839,123,
371,3826,118,
372,3814,119,
373,3802,123,
373,3790,120,
374,3777,121,
375,3765,122,
376,3753,122,
377,3741,121,
378,3729,122,
379,3717,120,
380,3705,121,
380,3692,118,
381,3680,122,
382,3668,121,
382,3655,117,
383,3642,120,
384,3630,120,
385,3618,121,
386,3606,121,
387,3594,123,
388,3582,123,
389,3570,119,
390,3558,119,
391,3546,121,
391,3533,119,
392,3521,119,
393,3509,122,
393,3497,119,
394,3484,119,
395,3472,121,
396,3460,122,
397,3448,119,
398,3436,120,
399,3424,120,
400,3412,117,
400,3399,120,
401,3386,119,
402,3375,119,
402,3362,119,
403,3349,120,
404,3337,122,
405,3325,120,
406,3313,120,
407,3301,119,
408,3289,118,
409,3277,119,
410,3265,123,
411,3253,118,
411,3240,122,
411,3228,119,
412,3215,121,
413,3203,123,
414,3191,125,
415,3179,120,
416,3167,120,
417,3155,119,
419,3143,123,
420,3131,122,
421,3119,121,
421,3106,125,
423,3094,121,
424,3083,120,
424,3070,122,
425,3057,120,
426,3045,119,
427,3033,121,
428,3021,120,
429,3009,121,
430,2997,122,
431,2985,118,
431,2972,118,
432,2959,122,
433,2948,122,
433,2935,118,
434,2922,119,
435,2910,121,
436,2898,122,
437,2886,122,
438,2874,123,
439,2862,124,
440,2850,121,
440,2837,122,
441,2825,118,
442,2813,119,
442,2801,121,
443,2788,122,
444,2776,122,
445,2764,118,
446,2752,122,
447,2740,122,
448,2728,119,
449,2716,120,
450,2704,121,
451,2692,120,
452,2680,117,
452,2667,124,
453,2655,121,
454,2643,119,
455,2631,120,
456,2619,122,
457,2607,122,
458,2595,121,
459,2583,120,
460,2571,120,
461,2559,119,
461,2546,118,
461,2533,118,
462,2520,118,
463,2508,119,
464,2496,118,
465,2484,118,
466,2472,120,
467,2460,118,
468,2448,120,
468,2435,118,
469,2423,121,
469,2411,121,
470,2398,119,
471,2386,117,
472,2374,121,
473,2362,118,
474,2350,118,
475,2338,121,
477,2326,124,
478,2314,118,
478,2301,120,
479,2289,121,
479,2277,120,
480,2264,123,
481,2252,122,
482,2240,117,
483,2228,118,
484,2216,121,
485,2204,121,
486,2192,119,
486,2180,119,
486,2167,118,
487,2154,120,
487,2142,119,
488,2130,123,
489,2118,120,
490,2106,120,
491,2094,121,
492,2082,118,
493,2070,122,
494,2058,117,
494,2045,120,
494,2033,118,
495,2021,119,
496,2009,121,
497,1997,119,
498,1985,117,
499,1973,118,
500,1961,118,
501,1949,117,
501,1937,116,
502,1925,120,
502,1912,119,
503,1899,121,
504,1887,119,
505,1875,118,
506,1863,119,
507,1851,119,
